iter	Passed	Remaining
814	11537	2618
815	11546	2603
816	11554	2588
817	11562	2572
818	11570	2557
819	11578	2541
820	11586	2526
821	11595	2511
822	11604	2495
823	11612	2480
824	11620	2464
825	11628	2449
826	11636	2434
827	11645	2419
828	11655	2404
829	11664	2389
830	11674	2374
831	11683	2359
832	11691	2343
833	11703	2329
834	11713	2314
835	11721	2299
836	11730	2284
837	11738	2269
838	11747	2254
839	11756	2239
840	11764	2224
841	11772	2209
842	11781	2194
843	11790	2179
844	11798	2164
845	11807	2149
846	11815	2134
847	11822	2119
848	11829	2103
849	11837	2088
850	11845	2073
851	11851	2058
852	11857	2043
853	11863	2028
854	11869	2013
855	11876	1997
856	11883	1982
857	11889	1967
858	11896	1952
859	11902	1937
860	11909	1922
861	11916	1907
862	11922	1892
863	11928	1877
864	11934	1862
865	11940	1847
866	11945	1832
867	11951	1817
868	11957	1802
869	11963	1787
870	11968	1772
871	11974	1757
872	11979	1742
873	11985	1727
874	11991	1713
875	11997	1698
876	12002	1683
877	12009	1668
878	12014	1653
879	12020	1639
880	12026	1624
881	12032	1609
882	12038	1595
883	12043	1580
884	12049	1565
885	12054	1551
886	12060	1536
887	12066	1521
888	12071	1507
889	12077	1492
890	12082	1478
891	12088	1463
892	12094	1449
893	12100	1434
894	12108	1420
895	12114	1406
896	12119	1391
897	12125	1377
898	12130	1362
899	12137	1348
900	12143	1334
901	12149	1319
902	12154	1305
903	12160	1291
904	12166	1277
905	12171	1262
906	12177	1248
907	12183	1234
908	12189	1220
909	12195	1206
910	12200	1191
911	12207	1177
912	12213	1163
913	12219	1149
914	12225	1135
915	12230	1121
916	12236	1107
917	12241	1093
918	12246	1079
919	12253	1065
920	12258	1051
921	12264	1037
922	12269	1023
923	12275	1009
924	12280	995
925	12285	981
926	12290	967
927	12297	954
928	12302	940
929	12310	926
930	12315	912
931	12321	898
932	12326	885
933	12331	871
934	12337	857
935	12343	843
936	12348	830
937	12354	816
938	12359	802
939	12364	789
940	12370	775
941	12375	761
942	12380	748
943	12386	734
944	12391	721
945	12397	707
946	12402	694
947	12407	680
948	12416	667
949	12421	653
950	12427	640
951	12432	626
952	12438	613
953	12444	600
954	12448	586
955	12454	573
956	12462	559
957	12468	546
958	12473	533
959	12479	519
960	12485	506
961	12490	493
962	12495	480
963	12502	466
964	12507	453
965	12514	440
966	12520	427
967	12526	414
968	12532	400
969	12537	387
970	12543	374
971	12550	361
972	12556	348
973	12564	335
974	12570	322
975	12575	309
976	12581	296
977	12587	283
978	12592	270
979	12598	257
980	12604	244
981	12609	231
982	12615	218
983	12622	205
984	12627	192
985	12634	179
986	12639	166
987	12646	153
988	12651	140
989	12657	127
990	12664	115
991	12670	102
992	12678	89
993	12684	76
994	12691	63
995	12696	50
996	12702	38
997	12708	25
998	12714	12
999	12720	0
251
983	14580	237
984	14588	222
985	14596	207
986	14603	192
987	14612	177
988	14621	162
989	14631	147
990	14640	132
991	14647	118
992	14656	103
993	14664	88
994	14672	73
995	14680	58
996	14689	44
997	14696	29
998	14705	14
999	14713	0
24243	394
984	24254	369
985	24266	344
986	24280	319
987	24291	295
988	24303	270
989	24317	245
990	24332	220
991	24347	196
992	24358	171
993	24372	147
994	24384	122
995	24394	97
996	24404	73
997	24413	48
998	24424	24
999	24435	0
